cit-gatekeeper2.ultralight.org cit-gatekeeper2.ultralight.org:9619
cit-gatekeeper3.ultralight.org cit-gatekeeper3.ultralight.org:9619
cit-gatekeeper.ultralight.org cit-gatekeeper.ultralight.org:9619
cms.rc.ufl.edu cms.rc.ufl.edu:9619
ce01.cmsaf.mit.edu ce01.cmsaf.mit.edu:9619
ce02.cmsaf.mit.edu ce02.cmsaf.mit.edu:9619
ce03.cmsaf.mit.edu ce03.cmsaf.mit.edu:9619
hammer-osg.rcac.purdue.edu hammer-osg.rcac.purdue.edu:9619
opportunistic.host.invalid opportunistic.host.invalid:9619
cmsgrid01.hep.wisc.edu cmsgrid01.hep.wisc.edu:9619
cmsgrid02.hep.wisc.edu cmsgrid02.hep.wisc.edu:9619
cmsgrid03.hep.wisc.edu cmsgrid03.hep.wisc.edu:9619
ce5-vanderbilt.sites.opensciencegrid.org ce5-vanderbilt.sites.opensciencegrid.org:9619
ce6-vanderbilt.sites.opensciencegrid.org ce6-vanderbilt.sites.opensciencegrid.org:9619
